Gold label; Gold Positions; Gold liks; System Label; System Positions; Syste, links; System; URI Sent
European;215-223; https://en.wikipedia.org/wiki/Europe ;European countries;215-233; https://en.wikipedia.org/wiki/Europe; TAGME; http://www.voxeurop.eu/en/2017/donald-trump-and-europe-5120641_sentence1#25,259
The Times;116-125; https://en.wikipedia.org/wiki/The_Times ;Times;120-125; https://en.wikipedia.org/wiki/The_Times; TAGME; http://www.voxeurop.eu/en/2017/donald-trump-and-europe-5120641_sentence5#704,839
François Hollande;0-17; https://en.wikipedia.org/wiki/François_Hollande ;Hollande;9-17; https://en.wikipedia.org/wiki/François_Hollande; Babelfyr; http://www.voxeurop.eu/en/2017/donald-trump-and-europe-5120641_sentence11#1716,1802
François Hollande;0-17; https://en.wikipedia.org/wiki/François_Hollande ;Hollande;9-17; https://en.wikipedia.org/wiki/François_Hollande; Babelfys; http://www.voxeurop.eu/en/2017/donald-trump-and-europe-5120641_sentence11#1716,1802
2017;94-98; https://en.wikipedia.org/wiki/2017 ;June 2017;89-98; https://en.wikipedia.org/wiki/2017; Babelfyr; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence19#190,354
2016;159-163; https://en.wikipedia.org/wiki/2016 ;June 2016;154-163; https://en.wikipedia.org/wiki/2016; Babelfyr; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence19#190,354
The euro area;0-13; https://en.wikipedia.org/wiki/Eurozone ;euro area;4-13; https://en.wikipedia.org/wiki/Eurozone; Babelfyr; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
2017;71-75; https://en.wikipedia.org/wiki/2017 ;June 2017;66-75; https://en.wikipedia.org/wiki/2017; Babelfyr; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
2017;106-110; https://en.wikipedia.org/wiki/2017 ;May 2017;102-110; https://en.wikipedia.org/wiki/2017; Babelfyr; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
2016;146-150; https://en.wikipedia.org/wiki/2016 ;June 2016;141-150; https://en.wikipedia.org/wiki/2016; Babelfyr; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
The euro area;0-13; https://en.wikipedia.org/wiki/Eurozone ;euro area;4-13; https://en.wikipedia.org/wiki/Eurozone; Babelfys; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
The euro area;0-13; https://en.wikipedia.org/wiki/Eurozone ;euro area;4-13; https://en.wikipedia.org/wiki/Eurozone; DBps; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
The euro area;0-13; https://en.wikipedia.org/wiki/Eurozone ;euro area;4-13; https://en.wikipedia.org/wiki/Eurozone; TAGME; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
the euro area;36-49; https://en.wikipedia.org/wiki/Eurozone ;euro area;40-49; https://en.wikipedia.org/wiki/Eurozone; Babelfyr; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence22#578,648
the euro area;36-49; https://en.wikipedia.org/wiki/Eurozone ;euro area;40-49; https://en.wikipedia.org/wiki/Eurozone; Babelfys; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence22#578,648
the euro area;36-49; https://en.wikipedia.org/wiki/Eurozone ;euro area;40-49; https://en.wikipedia.org/wiki/Eurozone; DBps; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence22#578,648
