Gold label; Gold Positions; Gold liks; System Label; System Positions; Syste, links; System; URI Sent
The Times;116-125; https://en.wikipedia.org/wiki/The_Times ;Times;120-125; https://en.wikipedia.org/wiki/The_Times; TAGME; http://www.voxeurop.eu/en/2017/donald-trump-and-europe-5120641_sentence5#704,839
The euro area;0-13; https://en.wikipedia.org/wiki/Eurozone ;euro area;4-13; https://en.wikipedia.org/wiki/Eurozone; Babelfyr; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
The euro area;0-13; https://en.wikipedia.org/wiki/Eurozone ;euro area;4-13; https://en.wikipedia.org/wiki/Eurozone; Babelfys; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
The euro area;0-13; https://en.wikipedia.org/wiki/Eurozone ;euro area;4-13; https://en.wikipedia.org/wiki/Eurozone; DBps; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
The euro area;0-13; https://en.wikipedia.org/wiki/Eurozone ;euro area;4-13; https://en.wikipedia.org/wiki/Eurozone; TAGME; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence21#426,577
the euro area;36-49; https://en.wikipedia.org/wiki/Eurozone ;euro area;40-49; https://en.wikipedia.org/wiki/Eurozone; Babelfyr; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence22#578,648
the euro area;36-49; https://en.wikipedia.org/wiki/Eurozone ;euro area;40-49; https://en.wikipedia.org/wiki/Eurozone; Babelfys; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence22#578,648
the euro area;36-49; https://en.wikipedia.org/wiki/Eurozone ;euro area;40-49; https://en.wikipedia.org/wiki/Eurozone; DBps; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence22#578,648
the euro area;36-49; https://en.wikipedia.org/wiki/Eurozone ;euro area;40-49; https://en.wikipedia.org/wiki/Eurozone; TAGME; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence22#578,648
the euro area;92-105; https://en.wikipedia.org/wiki/Eurozone ;euro area;96-105; https://en.wikipedia.org/wiki/Eurozone; Babelfyr; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence23#649,785
the euro area;92-105; https://en.wikipedia.org/wiki/Eurozone ;euro area;96-105; https://en.wikipedia.org/wiki/Eurozone; Babelfys; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence23#649,785
the euro area;92-105; https://en.wikipedia.org/wiki/Eurozone ;euro area;96-105; https://en.wikipedia.org/wiki/Eurozone; DBps; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence23#649,785
the euro area;92-105; https://en.wikipedia.org/wiki/Eurozone ;euro area;96-105; https://en.wikipedia.org/wiki/Eurozone; TAGME; http://www.voxeurop.eu/en/2017/social-issues-5121271_sentence23#649,785
the Cuban flag;30-44; https://en.wikipedia.org/wiki/Flag_of_Cuba ;Cuban flag;34-44; https://en.wikipedia.org/wiki/Flag_of_Cuba; Babelfyr; http://www.voxeurop.eu/en/content/news-brief/431181-muzzled-voice-cuba_sentence55#289,366
the Cuban flag;30-44; https://en.wikipedia.org/wiki/Flag_of_Cuba ;Cuban flag;34-44; https://en.wikipedia.org/wiki/Flag_of_Cuba; Babelfys; http://www.voxeurop.eu/en/content/news-brief/431181-muzzled-voice-cuba_sentence55#289,366
the Cuban flag;30-44; https://en.wikipedia.org/wiki/Flag_of_Cuba ;Cuban flag;34-44; https://en.wikipedia.org/wiki/Flag_of_Cuba; DBps; http://www.voxeurop.eu/en/content/news-brief/431181-muzzled-voice-cuba_sentence55#289,366
the Cuban flag;30-44; https://en.wikipedia.org/wiki/Flag_of_Cuba ;Cuban flag;34-44; https://en.wikipedia.org/wiki/Flag_of_Cuba; TAGME; http://www.voxeurop.eu/en/content/news-brief/431181-muzzled-voice-cuba_sentence55#289,366
The Times;12-21; https://en.wikipedia.org/wiki/The_Times ;Times;16-21; https://en.wikipedia.org/wiki/The_Times; TAGME; http://www.mpi-inf.mpg.de/yago-naga/aida/download/KORE50.tar.gz/AIDA.tsv_sentence41#3223,3299
The Sun;0-7; https://en.wikipedia.org/wiki/The_Sun_(United_Kingdom) ;Sun;4-7; https://en.wikipedia.org/wiki/The_Sun_(United_Kingdom); TAGME; http://www.mpi-inf.mpg.de/yago-naga/aida/download/KORE50.tar.gz/AIDA.tsv_sentence41#3223,3299
The Iranian army;0-16; https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran_Army ;Iranian army;4-16; https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran_Army; Babelfyr; http://ace2004/dataset/20000715_AFP_ARB.0072.eng_sentence10#2037,2162
The Iranian army;0-16; https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran_Army ;Iranian army;4-16; https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran_Army; Babelfys; http://ace2004/dataset/20000715_AFP_ARB.0072.eng_sentence10#2037,2162
The Iranian army;0-16; https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran_Army ;Iranian army;4-16; https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran_Army; FREMENER; http://ace2004/dataset/20000715_AFP_ARB.0072.eng_sentence10#2037,2162
The Iranian army;0-16; https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran_Army ;Iranian army;4-16; https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran_Army; TAGME; http://ace2004/dataset/20000715_AFP_ARB.0072.eng_sentence10#2037,2162
The Israeli army;0-16; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;4-16; https://en.wikipedia.org/wiki/Israel_Defense_Forces; Babelfyr; http://ace2004/dataset/20000815_AFP_ARB.0071.eng_sentence21#1305,1425
The Israeli army;0-16; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;4-16; https://en.wikipedia.org/wiki/Israel_Defense_Forces; DBps; http://ace2004/dataset/20000815_AFP_ARB.0071.eng_sentence21#1305,1425
The Israeli army;0-16; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;4-16; https://en.wikipedia.org/wiki/Israel_Defense_Forces; FREMENER; http://ace2004/dataset/20000815_AFP_ARB.0071.eng_sentence21#1305,1425
The Israeli army;0-16; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;4-16; https://en.wikipedia.org/wiki/Israel_Defense_Forces; TAGME; http://ace2004/dataset/20000815_AFP_ARB.0071.eng_sentence21#1305,1425
the Israeli army;202-218; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;206-218; https://en.wikipedia.org/wiki/Israel_Defense_Forces; Babelfyr; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence40#0,219
the Israeli army;202-218; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;206-218; https://en.wikipedia.org/wiki/Israel_Defense_Forces; DBps; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence40#0,219
the Israeli army;202-218; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;206-218; https://en.wikipedia.org/wiki/Israel_Defense_Forces; FREMENER; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence40#0,219
the Israeli army;202-218; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;206-218; https://en.wikipedia.org/wiki/Israel_Defense_Forces; TAGME; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence40#0,219
the Israeli army;45-61; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;49-61; https://en.wikipedia.org/wiki/Israel_Defense_Forces; Babelfyr; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence42#369,628
the Israeli army;45-61; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;49-61; https://en.wikipedia.org/wiki/Israel_Defense_Forces; DBps; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence42#369,628
the Israeli army;45-61; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;49-61; https://en.wikipedia.org/wiki/Israel_Defense_Forces; FREMENER; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence42#369,628
the Israeli army;45-61; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;49-61; https://en.wikipedia.org/wiki/Israel_Defense_Forces; TAGME; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence42#369,628
the Israeli army;39-55; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;43-55; https://en.wikipedia.org/wiki/Israel_Defense_Forces; Babelfyr; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence44#894,1028
the Israeli army;39-55; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;43-55; https://en.wikipedia.org/wiki/Israel_Defense_Forces; DBps; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence44#894,1028
the Israeli army;39-55; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;43-55; https://en.wikipedia.org/wiki/Israel_Defense_Forces; FREMENER; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence44#894,1028
the Israeli army;39-55; https://en.wikipedia.org/wiki/Israel_Defense_Forces ;Israeli army;43-55; https://en.wikipedia.org/wiki/Israel_Defense_Forces; TAGME; http://ace2004/dataset/20001115_AFP_ARB.0030.eng_sentence44#894,1028
the first Palestinian Intifada;120-150; https://en.wikipedia.org/wiki/First_Intifada ;Palestinian Intifada;130-150; https://en.wikipedia.org/wiki/First_Intifada; Babelfyr; http://ace2004/dataset/20001115_AFP_ARB.0089.eng_sentence87#1895,2149
the first Palestinian Intifada;120-150; https://en.wikipedia.org/wiki/First_Intifada ;first Palestinian Intifada;124-150; https://en.wikipedia.org/wiki/First_Intifada; Babelfyr; http://ace2004/dataset/20001115_AFP_ARB.0089.eng_sentence87#1895,2149
